Disease,Description
Endophthalmitis,Endophthalmitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Envenomation From Spider Or Animal Bite,Envenomation From Spider Or Animal Bite is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ependymoma,Ependymoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Epididymitis,Epididymitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Epidural Hemorrhage,Epidural Hemorrhage is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Epilepsy,"Epilepsy is a neurological disorder characterized by recurrent, unprovoked seizures due to abnormal electrical activity in the brain."
Erectile Dysfunction,Erectile Dysfunction is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Erythema Multiforme,Erythema Multiforme is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Esophageal Cancer,Esophageal Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Esophageal Varices,Esophageal Varices is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Esophagitis,Esophagitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Essential Tremor,Essential Tremor is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Eustachian Tube Dysfunction (Ear Disorder),Eustachian Tube Dysfunction (Ear Disorder) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Extrapyramidal Effect Of Drugs,Extrapyramidal Effect Of Drugs is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Eye Alignment Disorder,Eye Alignment Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Factitious Disorder,Factitious Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fanconi Anemia,Fanconi Anemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Female Genitalia Infection,Female Genitalia Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Female Infertility Of Unknown Cause,Female Infertility Of Unknown Cause is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fetal Alcohol Syndrome,Fetal Alcohol Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fibroadenoma,Fibroadenoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fibrocystic Breast Disease,Fibrocystic Breast Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fibromyalgia,Fibromyalgia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Flat Feet,Flat Feet is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Floaters,Floaters is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fluid Overload,Fluid Overload is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Folate Deficiency,Folate Deficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Food Allergy,Food Allergy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Foreign Body In The Ear,Foreign Body In The Ear is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Foreign Body In The Eye,Foreign Body In The Eye is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Foreign Body In The Gastrointestinal Tract,Foreign Body In The Gastrointestinal Tract is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Foreign Body In The Nose,Foreign Body In The Nose is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Foreign Body In The Throat,Foreign Body In The Throat is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Foreign Body In The Vagina,Foreign Body In The Vagina is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Ankle,Fracture Of The Ankle is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Arm,Fracture Of The Arm is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Facial Bones,Fracture Of The Facial Bones is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Foot,Fracture Of The Foot is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Hand,Fracture Of The Hand is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Jaw,Fracture Of The Jaw is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Leg,Fracture Of The Leg is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Neck,Fracture Of The Neck is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Patella,Fracture Of The Patella is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Pelvis,Fracture Of The Pelvis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Rib,Fracture Of The Rib is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Shoulder,Fracture Of The Shoulder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Skull,Fracture Of The Skull is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fracture Of The Vertebra,Fracture Of The Vertebra is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Friedrich Ataxia,Friedrich Ataxia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Frostbite,Frostbite is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fungal Infection,"Fungal infections are caused by fungal pathogens invading the skin, nails, mucous membranes, or internal organs, causing itching, rash, or systemic illness."
Fungal Infection Of The Hair,Fungal Infection Of The Hair is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Fungal Infection Of The Skin,Fungal Infection Of The Skin is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
G6Pd Enzyme Deficiency,G6Pd Enzyme Deficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
GERD (Acid Reflux),"GERD (Gastroesophageal Reflux Disease) is a chronic condition where stomach acid frequently flows back into the esophagus, causing heartburn and irritation."
Galactorrhea Of Unknown Cause,Galactorrhea Of Unknown Cause is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gallstone Disease,"Gallstone disease occurs when hardened deposits form in the gallbladder, causing abdominal pain, nausea, and digestive symptoms."
Ganglion Cyst,Ganglion Cyst is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gas Gangrene,Gas Gangrene is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gastritis,"Gastritis is inflammation of the stomach lining, causing nausea, vomiting, abdominal pain, and indigestion."
Gastroduodenal Ulcer,Gastroduodenal Ulcer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by viral or bacterial infection, causing nausea, vomiting, diarrhea, and abdominal pain."
Gastroesophageal Reflux Disease (Gerd),Gastroesophageal Reflux Disease (Gerd) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gastrointestinal Hemorrhage,Gastrointestinal Hemorrhage is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gastroparesis,Gastroparesis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gaucher Disease,Gaucher Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Genital Herpes,Genital Herpes is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gestational Diabetes,Gestational Diabetes is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Glaucoma,Glaucoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Glucocorticoid Deficiency,Glucocorticoid Deficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Goiter,Goiter is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gonorrhea,Gonorrhea is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gout,Gout is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Granuloma Inguinale,Granuloma Inguinale is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Graves Disease,Graves Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Guillain Barre Syndrome,Guillain Barre Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gum Disease (Periodontitis),Gum Disease (Periodontitis) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Gynecomastia,Gynecomastia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
HIV/AIDS,"HIV (Human Immunodeficiency Virus) is a virus that attacks the immune system, and AIDS is the advanced stage of HIV infection when immunity is severely compromised."
Hammer Toe,Hammer Toe is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hashimoto Thyroiditis,Hashimoto Thyroiditis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hay Fever (Allergic Rhinitis),"Hay fever is an allergic response to airborne pollen or other allergens, causing runny nose, sneezing, itchy eyes, and nasal congestion."
Head And Neck Cancer,Head And Neck Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Head Injury,Head Injury is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Headache After Lumbar Puncture,Headache After Lumbar Puncture is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Heart Attack (Myocardial Infarction),"A heart attack occurs when blood flow to a part of the heart is blocked, causing heart muscle damage. It is a medical emergency requiring immediate treatment."
Heart Block,Heart Block is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Heart Contusion,Heart Contusion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Heart Failure,"Heart failure is a chronic condition where the heart cannot pump blood efficiently enough to meet the body's needs, causing fatigue, shortness of breath, and fluid retention."
Heat Exhaustion,Heat Exhaustion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Heat Stroke,Heat Stroke is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hemangioma,Hemangioma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hemarthrosis,Hemarthrosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hematoma,Hematoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hematuria,Hematuria is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hemiplegia,Hemiplegia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hemochromatosis,Hemochromatosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hemolytic Anemia,Hemolytic Anemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hemophilia,Hemophilia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hemorrhoids,"Hemorrhoids are swollen veins in the rectum or anus causing pain, bleeding, and discomfort, often triggered by straining during bowel movements."
Hepatic Encephalopathy,Hepatic Encephalopathy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hepatitis A,"Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus, typically transmitted through contaminated food or water."
Hepatitis B,"Hepatitis B is a serious liver infection caused by the hepatitis B virus, which can become chronic and lead to liver failure, liver cancer, or cirrhosis."
Hepatitis C,"Hepatitis C is a viral liver infection transmitted through contaminated blood, which often becomes chronic and can lead to serious liver damage."
Hepatitis D,"Hepatitis D is a liver infection caused by the hepatitis D virus, which only occurs in people also infected with hepatitis B, making the disease more severe."
Hepatitis Due To A Toxin,Hepatitis Due To A Toxin is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hepatitis E,"Hepatitis E is a liver disease caused by the hepatitis E virus, primarily spread through contaminated water. It is usually self-limiting but can be severe in pregnancy."
Herniated Disk,Herniated Disk is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Herpangina,Herpangina is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hiatal Hernia,Hiatal Hernia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hidradenitis Suppurativa,Hidradenitis Suppurativa is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
High Blood Pressure,High Blood Pressure is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hirschsprung Disease,Hirschsprung Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hirsutism,Hirsutism is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Histoplasmosis,Histoplasmosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hormone Disorder,Hormone Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hpv,Hpv is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Huntington Disease,Huntington Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hydatidiform Mole,Hydatidiform Mole is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hydrocele Of The Testicle,Hydrocele Of The Testicle is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hydrocephalus,Hydrocephalus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hydronephrosis,Hydronephrosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypercalcemia,Hypercalcemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypercholesterolemia,Hypercholesterolemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hyperemesis Gravidarum,Hyperemesis Gravidarum is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypergammaglobulinemia,Hypergammaglobulinemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hyperhidrosis,Hyperhidrosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hyperkalemia,Hyperkalemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hyperlipidemia,Hyperlipidemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypernatremia,Hypernatremia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hyperopia,Hyperopia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hyperosmotic Hyperketotic State,Hyperosmotic Hyperketotic State is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypertension,"Hypertension (high blood pressure) is a chronic condition where blood pressure in the arteries is persistently elevated, increasing the risk of heart disease and stroke."
Hypertension Of Pregnancy,Hypertension Of Pregnancy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypertensive Heart Disease,Hypertensive Heart Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hyperthyroidism,"Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone, speeding up metabolism and causing weight loss, rapid heartbeat, and nervousness."
Hypertrophic Obstructive Cardiomyopathy (Hocm),Hypertrophic Obstructive Cardiomyopathy (Hocm) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypocalcemia,Hypocalcemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypoglycemia,"Hypoglycemia is abnormally low blood sugar (glucose) levels, causing symptoms such as shakiness, sweating, confusion, and in severe cases, loss of consciousness."
Hypokalemia,Hypokalemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hyponatremia,Hyponatremia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypothermia,Hypothermia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormone, causing fatigue, weight gain, and slowed metabolism."
Hypovolemia,Hypovolemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Idiopathic Absence Of Menstruation,Idiopathic Absence Of Menstruation is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Idiopathic Excessive Menstruation,Idiopathic Excessive Menstruation is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Idiopathic Infrequent Menstruation,Idiopathic Infrequent Menstruation is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Idiopathic Irregular Menstrual Cycle,Idiopathic Irregular Menstrual Cycle is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Idiopathic Nonmenstrual Bleeding,Idiopathic Nonmenstrual Bleeding is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Idiopathic Painful Menstruation,Idiopathic Painful Menstruation is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ileus,Ileus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Impetigo,"Impetigo is a highly contagious bacterial skin infection causing red sores that burst, ooze fluid, and form a honey-colored crust, common in children."
Impulse Control Disorder,Impulse Control Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Indigestion,Indigestion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Induced Abortion,Induced Abortion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Infection Of Open Wound,Infection Of Open Wound is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Inflammatory Bowel Disease (IBD),Inflammatory Bowel Disease (IBD) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Influenza (Flu),"Influenza is a contagious respiratory illness caused by influenza viruses, causing fever, chills, muscle aches, cough, and fatigue."
Ingrown Toe Nail,Ingrown Toe Nail is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Inguinal Hernia,Inguinal Hernia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury Of The Ankle,Injury Of The Ankle is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To Internal Organ,Injury To Internal Organ is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Abdomen,Injury To The Abdomen is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Arm,Injury To The Arm is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Face,Injury To The Face is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Hand,Injury To The Hand is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Hip,Injury To The Hip is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Knee,Injury To The Knee is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Leg,Injury To The Leg is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Shoulder,Injury To The Shoulder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Spinal Cord,Injury To The Spinal Cord is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Injury To The Trunk,Injury To The Trunk is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Insect Bite,Insect Bite is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Insulin Overdose,Insulin Overdose is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Interstitial Lung Disease,Interstitial Lung Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Intertrigo (Skin Condition),Intertrigo (Skin Condition) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Intestinal Cancer,Intestinal Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Intestinal Disease,Intestinal Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Intestinal Malabsorption,Intestinal Malabsorption is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Intestinal Obstruction,Intestinal Obstruction is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Intracerebral Hemorrhage,Intracerebral Hemorrhage is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Intracranial Abscess,Intracranial Abscess is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Intracranial Hemorrhage,Intracranial Hemorrhage is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Intussusception,Intussusception is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Iridocyclitis,Iridocyclitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Iron Deficiency Anemia,Iron Deficiency Anemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Irritable Bowel Syndrome (IBS),"IBS is a common gastrointestinal disorder causing abdominal pain, bloating, and altered bowel habits including diarrhea and/or constipation."
Ischemia Of The Bowel,Ischemia Of The Bowel is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ischemic Heart Disease,Ischemic Heart Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Itching Of Unknown Cause,Itching Of Unknown Cause is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Jaundice,"Jaundice is a yellowing of the skin and eyes caused by elevated bilirubin levels, usually indicating liver, bile duct, or blood cell problems."
Jaw Disorder,Jaw Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Joint Effusion,Joint Effusion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Juvenile Rheumatoid Arthritis,Juvenile Rheumatoid Arthritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Kaposi Sarcoma,Kaposi Sarcoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Kidney Cancer,Kidney Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Kidney Disease Due To Longstanding Hypertension,Kidney Disease Due To Longstanding Hypertension is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Kidney Failure,Kidney Failure is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Kidney Stone,"Kidney stones are hard deposits of minerals and salts that form inside the kidneys, causing severe flank pain, nausea, and blood in urine."
Knee Ligament Or Meniscus Tear,Knee Ligament Or Meniscus Tear is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Labyrinthitis,Labyrinthitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lactose Intolerance,Lactose Intolerance is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Laryngitis,Laryngitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lateral Epicondylitis (Tennis Elbow),Lateral Epicondylitis (Tennis Elbow) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Leukemia,Leukemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lewy Body Dementia,Lewy Body Dementia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lice,Lice is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lichen Planus,Lichen Planus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lichen Simplex,Lichen Simplex is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lipoma,Lipoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Liver Cancer,Liver Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Liver Disease,Liver Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lumbago (Lower Back Pain),Lumbago (Lower Back Pain) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lung Cancer,Lung Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lung Contusion,Lung Contusion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lyme Disease,Lyme Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lymphadenitis,Lymphadenitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lymphangitis,Lymphangitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lymphedema,Lymphedema is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lymphogranuloma Venereum,Lymphogranuloma Venereum is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Lymphoma,Lymphoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Macular Degeneration,Macular Degeneration is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Magnesium Deficiency,Magnesium Deficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Malaria,"Malaria is a life-threatening mosquito-borne disease caused by Plasmodium parasites, causing fever, chills, and flu-like illness, predominantly in tropical regions."
Male Genitalia Infection,Male Genitalia Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Malignant Hypertension,Malignant Hypertension is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Marfan Syndrome,Marfan Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Marijuana Abuse,Marijuana Abuse is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Mastectomy,Mastectomy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Mastoiditis,Mastoiditis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Meckel Diverticulum,Meckel Diverticulum is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Melanoma,Melanoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Meniere Disease,Meniere Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
